"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Chile",2002,23,23,4.05,8359.84
"Colombia",2002,12.1,12.1,4.27,5473.34
"Costa Rica",2002,15.4,15.4,5.15,6991.72
"Ecuador",2002,17.5,17.5,1.85888888888889,4323.02
"El Salvador",2002,10.7,10.7,3.24,302.97
"Guatemala",2002,6.1,6.1,2.442,3465.79
"Mexico",2002,21.2,21.2,4.45,9809.68
"Nicaragua",2002,18.2,18.2,2.39,1926.54
"Panama",2002,25,25,4.19,7480.5
"Paraguay",2002,11,11,3.41,3170.46
"Peru",2002,18.9,18.9,2.82,4223.44
"Uruguay",2002,30.8,30.8,2.32,7321.02
"Argentina",2003,35.8,35.8,3.54,8068.42
"Brazil",2003,24.6,24.6,3.86,6619.6
"Chile",2003,23,23,3.92,8767.5
"Colombia",2003,12.1,12.1,4.33,5658.72
"Costa Rica",2003,15.4,15.4,5.13,7287.18
"Ecuador",2003,17.5,17.5,2.21333333333333,4537.81
"El Salvador",2003,12,12,3.13,311.97
"Guatemala",2003,8.3,8.3,2.589,3517.02
"Mexico",2003,21.2,21.2,5.07,10080.92
"Nicaragua",2003,18.2,18.2,2.42,1974.88
"Panama",2003,25,25,4.17,8179.06
"Paraguay",2003,15.1,15.1,3.38,3413.04
"Peru",2003,18.9,18.9,2.94,4513.88
"Uruguay",2003,30.8,30.8,2.07,7350.03
"Argentina",2004,35.8,35.8,3.49,8794.29
"Brazil",2004,24.6,24.6,3.97,7027.97
"Chile",2004,23,23,3.54,9861.35
"Colombia",2004,12.1,12.1,4.08,6000.23
"Costa Rica",2004,15.4,15.4,4.89,7609.08
"Ecuador",2004,17.5,17.5,2.56777777777778,5080.02
"El Salvador",2004,17,17,3.155,317.1
"Guatemala",2004,8.3,8.3,2.736,3573.78
"Mexico",2004,21.2,21.2,4.73,10763.58
"Nicaragua",2004,18.2,18.2,2.71428571428571,2575.62
"Panama",2004,26.7,26.7,3.58,8234.84
"Paraguay",2004,15.1,15.1,2.87,3780.2
"Peru",2004,18.9,18.9,2.96,4953.84
"Uruguay",2004,31.8,31.8,2.5,7803.78
"Argentina",2005,35.8,35.8,3.86,9701.86
"Brazil",2005,27.3,27.3,4.48,7378.42
"Chile",2005,23,23,3.28,11209.46
"Colombia",2005,12.1,12.1,4.02,6400.86
"Costa Rica",2005,15.4,15.4,4.755,8243.87
"Ecuador",2005,17.5,17.5,2.92222222222222,5715.84
"El Salvador",2005,17,17,3.18,431.21
"Guatemala",2005,8.3,8.3,2.883,3717.69
"Mexico",2005,21.2,21.2,4.85,11930.97
"Nicaragua",2005,18.2,18.2,3.00857142857143,2214.17
"Panama",2005,26.7,26.7,3.56,10095.52
"Paraguay",2005,15.1,15.1,2.82666666666667,3915.82
"Peru",2005,18.9,18.9,2.84,5578.26
"Uruguay",2005,31.8,31.8,2.71,8538.56
"Argentina",2006,35.8,35.8,4.13,10726.71
"Brazil",2006,28.1,28.1,4.87,7876.56
"Chile",2006,19.7,19.7,3.04,12959.77
"Colombia",2006,9.9,9.9,3.92,6934.23
"Costa Rica",2006,19.8,19.8,4.62,8582.65
"Ecuador",2006,20,20,3.27666666666667,6071.09
"El Salvador",2006,18,18,3.49,333.91
"Guatemala",2006,8.3,8.3,3.03,3839.27
"Mexico",2006,23.1,23.1,4.7,12502.94
"Nicaragua",2006,24.8,24.8,3.30285714285714,2329.99
"Panama",2006,26.7,26.7,3.54,10757.1
"Paraguay",2006,15.1,15.1,2.78333333333333,4104.25
"Peru",2006,22.8,22.8,2.65,6330.91
"Uruguay",2006,31.8,31.8,2.86,9037.29
"Argentina",2007,24.8,24.8,4.46,11776.18
"Brazil",2007,28.1,28.1,4.97,8458.79
"Chile",2007,19.7,19.7,3.23,13522.38
"Colombia",2007,9.9,9.9,4.08,7546.25
"Costa Rica",2007,22.7,22.7,4.63,8769.1
"Ecuador",2007,22.2,22.2,3.63111111111111,6267.44
"El Salvador",2007,18,18,3.61,173.11
"Guatemala",2007,10,10,3.09,3948.73
"Mexico",2007,23.1,23.1,4.69,13093.71
"Nicaragua",2007,24.8,24.8,3.59714285714286,2428.48
"Panama",2007,26.7,26.7,3.52,11700.59
"Paraguay",2007,15.1,15.1,2.74,4001.89
"Peru",2007,22.8,22.8,2.63,7050.99
"Uruguay",2007,31.8,31.8,3.118,9693.41
"Argentina",2008,24.8,24.8,4.84,12511.48
"Brazil",2008,28.1,28.1,5.27,8941.49
"Chile",2008,19.7,19.7,3.79,13794.36
"Colombia",2008,9.9,9.9,3.94,7782
"Costa Rica",2008,19.8,19.8,4.89,8711.52
"Ecuador",2008,22.2,22.2,3.98555555555556,6582.3
"El Salvador",2008,18,18,4.46,187.37
"Guatemala",2008,10,10,3.24,4131.19
"Mexico",2008,23.1,23.1,4.82,13240.08
"Nicaragua",2008,24.8,24.8,3.89142857142857,2515.38
"Panama",2008,26.7,26.7,3.5,12460.31
"Paraguay",2008,15,15,2.75,4156.65
"Peru",2008,22.8,22.8,2.87,7771.86
"Uruguay",2008,31.8,31.8,3.376,10540.09
"Argentina",2009,24.8,24.8,5.53,12813.06
"Brazil",2009,28.1,28.1,5.46,8970.06
"Chile",2009,19.7,19.7,4.25,13977.19
"Colombia",2009,9.9,9.9,4.78,7997.74
"Costa Rica",2009,19.8,19.8,6.01,9264.84
"Ecuador",2009,22.7,22.7,4.34,6758.7
"El Salvador",2009,17.9,17.9,4.66,400.47
"Guatemala",2009,10,10,3.045,4250.99
"Mexico",2009,23.1,23.1,5.19,12669.74
"Nicaragua",2009,24.8,24.8,4.18571428571429,2505.06
"Panama",2009,18.9,18.9,3.38666666666667,12540.81
"Paraguay",2009,15,15,2.76,4197.77
"Peru",2009,22.8,22.8,3.14,7931.16
"Uruguay",2009,33.1,33.1,3.634,10788.83
"Argentina",2010,24.8,24.8,5.02,13933.29
"Brazil",2010,31.7,31.7,5.65,9498.56
"Chile",2010,20.1,20.1,4.19,14834.48
"Colombia",2010,8.1,8.1,4.83,8270.65
"Costa Rica",2010,21.8,21.8,6.57,9400.06
"Ecuador",2010,22.7,22.7,4.51,6988.25
"El Salvador",2010,17.9,17.9,4.05,390.64
"Guatemala",2010,10,10,2.85,4337.5
"Mexico",2010,23.1,23.1,5.16,13183.17
"Nicaragua",2010,24.8,24.8,4.48,2506.24
"Panama",2010,18.9,18.9,3.27333333333333,13528.34
"Paraguay",2010,15,15,2.77,4673.14
"Peru",2010,22.8,22.8,2.87,8646.26
"Uruguay",2010,31.1,31.1,3.892,11979.03
"Argentina",2011,25.22,25.22,5.29,15102.61
"Brazil",2011,31.7,31.7,5.74,9815.24
"Chile",2011,20.1,20.1,4.06,15519.08
"Colombia",2011,8.1,8.1,4.47,8761.14
"Costa Rica",2011,21.8,21.8,6.38,9485.71
"Ecuador",2011,22.7,22.7,4.73,7259.52
"El Salvador",2011,17.9,17.9,3.9,332.27
"Guatemala",2011,20.69,20.69,2.97,4438
"Mexico",2011,23.1,23.1,5.11,13609.42
"Panama",2011,18.9,18.9,3.16,15137.04
"Paraguay",2011,15,15,3.69,4812.92
"Peru",2011,34.94,34.94,2.66,9227.15
"Uruguay",2011,31.1,31.1,4.15,12804.84
